DataSet,SeqType,Annotation,Method,N_CDS_Absent_Total,N_CDSAbsent_DNAPresent,N_Accessory_STD,N_Accessory_AsmSeqCheck,Acc_ASC_Diff,CDSAnnoDisc_Percent
Mtb,LongRead,Bakta,Panaroo_Strict_MergeParalogs,33046.0,10784.0,421.0,335.0,86.0,32.633299037705015
Mtb,LongRead,Bakta,Panaroo_Moderate_MergeParalogs,36487.0,12852.0,455.0,359.0,96.0,35.223504261791874
Mtb,LongRead,Bakta,Panaroo_Sensitive_MergeParalogs,36625.0,12976.0,456.0,360.0,96.0,35.429351535836176
Mtb,LongRead,Bakta,Roary_NoSplitParalogs_I80,51372.0,28144.0,538.0,360.0,178.0,54.78470762282955
Mtb,LongRead,Bakta,Roary_NoSplitParalogs_I90,54830.0,29292.0,570.0,382.0,188.0,53.42330840780595
Mtb,LongRead,Bakta,Roary_NoSplitParalogs,64856.0,35226.0,650.0,423.0,227.0,54.31417293696805
Mtb,ShortRead,Bakta,Panaroo_Strict_MergeParalogs,35173.0,15606.0,674.0,569.0,105.0,44.36926051232479
Mtb,ShortRead,Bakta,Panaroo_Moderate_MergeParalogs,51869.0,24976.0,808.0,670.0,138.0,48.15207542077156
Mtb,ShortRead,Bakta,Panaroo_Sensitive_MergeParalogs,83674.0,40190.0,1024.0,834.0,190.0,48.03164662858235
Mtb,ShortRead,Bakta,Roary_NoSplitParalogs_I80,141774.0,89760.0,1542.0,992.0,550.0,63.31203182529942
Mtb,ShortRead,Bakta,Roary_NoSplitParalogs_I90,151288.0,93868.0,1630.0,1063.0,567.0,62.045899212098774
Mtb,ShortRead,Bakta,Roary_NoSplitParalogs,161268.0,98976.0,1707.0,1109.0,598.0,61.37361410819258
Ecoli,LongRead,Bakta,Panaroo_Strict_MergeParalogs,481903.0,5907.0,11375.0,11369.0,6.0,1.2257653511183786
Ecoli,LongRead,Bakta,Panaroo_Moderate_MergeParalogs,492058.0,6042.0,11605.0,11599.0,6.0,1.2279040275739852
Ecoli,LongRead,Bakta,Panaroo_Sensitive_MergeParalogs,511208.0,6790.0,11996.0,11990.0,6.0,1.3282264753290247
Ecoli,LongRead,Bakta,Roary_NoSplitParalogs_I80,431078.0,1218.0,10277.0,10273.0,4.0,0.2825474740070243
Ecoli,LongRead,Bakta,Roary_NoSplitParalogs_I90,506502.0,1565.0,11936.0,11932.0,4.0,0.30898199809674987
Ecoli,LongRead,Bakta,Roary_NoSplitParalogs,651347.0,9108.0,15299.0,15281.0,18.0,1.398332993012941
Ecoli,ShortRead,Bakta,Panaroo_Strict_MergeParalogs,406594.0,4532.0,10002.0,9995.0,7.0,1.1146254002764429
Ecoli,ShortRead,Bakta,Panaroo_Moderate_MergeParalogs,435712.0,5878.0,10628.0,10620.0,8.0,1.3490562573443008
Ecoli,ShortRead,Bakta,Panaroo_Sensitive_MergeParalogs,536646.0,10528.0,12690.0,12682.0,8.0,1.9618146785776842
Ecoli,ShortRead,Bakta,Roary_NoSplitParalogs_I80,437116.0,2419.0,10595.0,10577.0,18.0,0.5534000128112446
Ecoli,ShortRead,Bakta,Roary_NoSplitParalogs_I90,511437.0,2905.0,12222.0,12204.0,18.0,0.5680073987607467
Ecoli,ShortRead,Bakta,Roary_NoSplitParalogs,654563.0,10430.0,15511.0,15482.0,29.0,1.5934295094589828
Saureus,LongRead,Bakta,Panaroo_Strict_MergeParalogs,105466.0,2405.0,1956.0,1948.0,8.0,2.2803557544611537
Saureus,LongRead,Bakta,Panaroo_Moderate_MergeParalogs,107110.0,2458.0,1990.0,1982.0,8.0,2.2948370833722342
Saureus,LongRead,Bakta,Panaroo_Sensitive_MergeParalogs,114480.0,2628.0,2100.0,2092.0,8.0,2.2955974842767293
Saureus,LongRead,Bakta,Roary_NoSplitParalogs_I80,101654.0,566.0,1875.0,1871.0,4.0,0.556790682117772
Saureus,LongRead,Bakta,Roary_NoSplitParalogs_I90,123845.0,863.0,2266.0,2261.0,5.0,0.6968387904235133
Saureus,LongRead,Bakta,Roary_NoSplitParalogs,168980.0,6600.0,3024.0,2987.0,37.0,3.9057876671795477
Saureus,ShortRead,Bakta,Panaroo_Strict_MergeParalogs,86031.0,1727.0,2011.0,2000.0,11.0,2.0074159314665647
Saureus,ShortRead,Bakta,Panaroo_Moderate_MergeParalogs,90964.0,2152.0,2094.0,2083.0,11.0,2.36577107427114
Saureus,ShortRead,Bakta,Panaroo_Sensitive_MergeParalogs,119413.0,3238.0,2519.0,2508.0,11.0,2.711597564754256
Saureus,ShortRead,Bakta,Roary_NoSplitParalogs_I80,103772.0,487.0,2281.0,2257.0,24.0,0.46929807655244193
Saureus,ShortRead,Bakta,Roary_NoSplitParalogs_I90,124807.0,777.0,2638.0,2615.0,23.0,0.6225612345461392
Saureus,ShortRead,Bakta,Roary_NoSplitParalogs,167868.0,6174.0,3347.0,3298.0,49.0,3.677889770533991
